Rotina;Predecessora/Hora;Rotinas_Predecessoras_1;Rotinas_Predecessoras_2;Rotinas_Predecessoras_3;Rotinas_Predecessoras_4;Rotinas_Predecessoras_5;Rotinas_Predecessoras_6;Rotinas_Predecessoras_7;Freq;Tabela/Processo;ativa/descontinuada;Linguagem
BI03DC79;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_crm_sap.casa_cliente_bcm;SIM;TACACA
BI03DD73;08:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";NULL;DESCONTINUADA;TACACA
BI03DD75;NULL;BI03SC33_CDP ; BI03SC34_CDP ; BI03SC35_CDP ;BI03SC36_CDP ;;;;"FREQ=DAILY;INTERVAL=1";rfzd_fidelidade.cliente_stix;SIM;TACACA
BI03DD99;NULL;BI03SC62_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_adobe_analytics.app_hit_data;SIM;PYSPARK
BI03DE23;NULL;BI03DD99_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_adode_analytics.app_adobe;SIM;TACACA
BI03DE24;NULL;BI03SC40_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_fidelidade.industria_cliente_missao;SIM;PYSPARK
BI03DE28;NULL;BI03DG58_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_fidelidade.industria_missao;SIM;PYSPARK
BI03DE33;NULL;BI03DE23_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_app_adobe_ex;SIM;PYSPARK
BI03DE34;NULL;BI03DE23_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_app_adobe_pa;SIM;PYSPARK
BI03DE36;06:00:00;06:00:00; BI03SB36_CDP ;BI03SB51_CDP ;BI03SB52_CDP ;BI03SB53_CDP ;BI03SB59_CDP ;;"FREQ=DAILY;INTERVAL=1";Shell Envio Adobe - rfzv_cliente.v_adobe_cliente;SIM;PYSPARK
BI03DE37;NULL;BI89DA08_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_crm_sap.cdp_estrutura_categorias_cx;SIM;TACACA
BI03DE38;NULL;BI89DA08_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_crm_sap.cdp_scores_rfm;SIM;TACACA
BI03DE39;NULL;BI03DE37_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";TSZD_CLIENTE.cdp_estrutura_categoria_cx;SIM;TACACA
BI03DE40;NULL;BI03DE38_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_cliente. cdp_score_rfm;SIM;TACACA
BI03DE41;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Adobe - rfzv_cliente.v_adobe_produto;SIM;PYSPARK
BI03DE42;10:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_ecom_cliente_cupom;SIM;PYSPARK
BI03DG53;10:00:00;BI03DE42_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Dunnhumby - rfzv_cliente.v_dunn_james_cliente_cupom;SIM;PYSPARK
BI03DG54;NULL;BI03SC41_CDP;BI03SC47_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_responsys.retorno_campanha_sms;SIM;TACACA
BI03DG55;NULL;BI03SB60_CDP;BI03SB61_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_responsys.retorno_campanha_email;SIM;TACACA
BI03DG56;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.age_description;SIM;PYSPARK
BI03DG57;NULL;BI03DC40_HDPDP05;;;;;;;"FREQ=DAILY;INTERVAL=1";wrkd_cdp.wrk_cust_missions;SIM;PYSPARK
BI03DG58;NULL;BI03DC39_HDPDP05;;;;;;;"FREQ=DAILY;INTERVAL=1";wrkd_cdp.wrk_mission_report;SIM;TACACA
BI03DG59;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.price_description;SIM;PYSPARK
BI03DG60;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.state_code_description;SIM;PYSPARK
BI03DG65;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.gender_description;SIM;PYSPARK
BI03DG66;NULL;BI03SC55_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzv_cliente.v_resp_score_rfm_categoria_al_pa;SIM;PYSPARK
BI03DH21;NULL;BI03SC55_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzv_cliente.v_resp_score_rfm_categoria_al_ex ;SIM;PYSPARK
BI03DH22;NULL;BI03SC55_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzv_cliente.v_resp_score_rfm_categoria_nal_pa;SIM;PYSPARK
BI03DH23;NULL;BI03SC55_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzv_cliente.v_resp_score_rfm_categoria_nal_ex;SIM;PYSPARK
BI03DH24;NULL;BI03SB35_CDP;BI03SB51_CDP;BI03SB52_CDP;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys -  rfzv_cliente.v_resp_cliente_ex_sap_ecom;SIM;PYSPARK
BI03DH25;NULL;BI03DH24_CDP;BI03SB36_CDP;BI03SB51_CDP;BI03SB52_CDP;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_cliente_pa_sap_ecom;SIM;PYSPARK
BI03DH26;12:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_teradata.produto_index_ult_visao;SIM;PYSPARK
BI03DH27;06:00:00; BI03DH26_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_teradata.fornecedor_ult_visao;SIM;PYSPARK
BI03DH28;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";"rwzd_dunnhumby.md_un_structure;";SIM;PYSPARK
BI03DH29;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.offer_tab;SIM;PYSPARK
BI03DH30;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_fic.dn_bins;SIM;TACACA
BI03DH31;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_cliente_comp_compra_ecom_ex;SIM;PYSPARK
BI03DH32;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_cliente_comp_compra_ecom_pa;SIM;PYSPARK
BI03DH33;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_cliente_comp_compra_ex;SIM;PYSPARK
BI03DH34;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_cliente_comp_compra_pa;SIM;PYSPARK
BI03DH35;06:00:00; BI03SB70_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rwzv_teradata.v_resp_meus_premios_resgate_pa;SIM;PYSPARK
BI03DH36;06:00:00; BI03SB70_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rwzv_teradata.v_resp_meus_premios_resgate_ex;SIM;PYSPARK
BI03DH37;06:00:00; BI03SB70_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rwzv_teradata.v_resp_meus_premios_desafio_pa;SIM;PYSPARK
BI03DH38;06:00:00; BI03SB70_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rwzv_teradata.v_resp_meus_premios_desafio_ex;SIM;PYSPARK
BI03DH39;NULL;BI03SB46_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_loja_preferencial_pa;SIM;PYSPARK
BI03DH40;NULL;BI03DH39_CDP;BI03SB46_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_loja_preferencial_ex;SIM;PYSPARK
BI03DH41;NULL;BI03DH40_CDP;BI03SB46_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_loja_preferencial_mv_pa;SIM;PYSPARK
BI03DH42;NULL;BI03DH41_CDP;BI03SB46_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_resp_loja_preferencial_mv_ex;SIM;PYSPARK
BI03DH43;NULL;BI03SC16_CDP;BI03SC17_CDP;BI03SC19_CDP;;;;;"FREQ=DAILY;INTERVAL=1";tszd_cliente.segm_dunnhumby_new;SIM;PYSPARK
BI03DH44;05:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_fidelidade.cliente_meu_desconto;SIM;PYSPARK
BI03DH45;NULL;BI03DH44_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys  - rfzv_cliente.v_resp_cliente_meu_desconto_pa ;SIM;PYSPARK
BI03DH46;NULL;BI03DH44_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys  - rfzv_cliente.v_resp_cliente_meu_desconto_ex;SIM;PYSPARK
BI03DH47;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzd_pricing.v_resp_estrutura_operacional;SIM;PYSPARK
BI03DH48;NULL;BI03SB85_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzd_cliente.v_resp_ex_cliente_fic;SIM;PYSPARK
BI03DH49;NULL;BI03SB85_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzd_cliente.v_resp_pa_cliente_fic;SIM;PYSPARK
BI03DH50;NULL;BI03SC84_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_adobe_analytics.site_hit_data;SIM;PYSPARK
BI03DH51;NULL;BI03DH43_CDP;BI03SB31_CDP;BI03SB32_CDP;BI03SB33_CDP;BI03SB34_CDP;BI03SB51_CDP;BI03SB52_CDP;"FREQ=DAILY;INTERVAL=1";rfzd_cliente.cliente_comport_compra_new;SIM;PYSPARK
BI03DH52;NULL;BI03DH50_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Responsys - rfzd_cliente.v_site_hit_data_pao;SIM;PYSPARK
BI03DH53;NULL;BI03DH50_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Responsys - rfzd_cliente.v_site_hit_data_extra;SIM;PYSPARK
BI03DH54;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_ult_comp_james_pao;SIM;PYSPARK
BI03DH55;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.product_structure;SIM;PYSPARK
BI03DH56;10:00:00;BI03DH85_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_card;SIM;PYSPARK
BI03DH57;NULL;BI03DH78_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_basket;SIM;PYSPARK
BI03DH58;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell Envio Responsys - rfzv_cliente.v_ult_comp_james_extra;SIM;PYSPARK
BI03DH59;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.personas;SIM;TACACA
BI03DH60;NULL;BI03DH26_CDP;BI03DH27_CDP;BI03DH28_CDP;BI03DH55_CDP;;;;"FREQ=DAILY;INTERVAL=1";rfzd_dunnhumby.estrutura_produto;SIM;PYSPARK
BI03DH61;NULL;BI03DH60_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.produto_estado;SIM;PYSPARK
BI03DH62;NULL;BI03DH61_CDP ;;;;;;;"FREQ=DAILY;INTERVAL=1";rwzd_dunnhumby.prod_hier_l30_code;SIM;TACACA
BI03DH63;NULL;BI03DH43_CDP;BI03DH60_CDP;BI03SB96_CDP;;;;;"FREQ=DAILY;INTERVAL=1";rfzd_dunnhumby.cliente_compra_un_produto;SIM;PYSPARK
BI03DH64;NULL;BI03DH77_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.relevanc_item;SIM;PYSPARK
BI03DH65;09:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.elevanc_store;SIM;PYSPARK
BI03DH66;NULL;BI03DH59_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.persona;SIM;PYSPARK
BI03DH67;NULL;BI03DH62_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.prod_hier_l30_code;SIM;PYSPARK
BI03DH68;06:00:00;;;;;;;;"FREQ=DAILY;INTERVAL=1";tszd_dunnhumby.cliente_estado;SIM;PYSPARK
BI03DH69;NULL;BI03DH26_CDP;BI03DH27_CDP;;;;;;"FREQ=DAILY;INTERVAL=1";Shell RelevanC - rfzd_cliente.elevanc_product;SIM;PYSPARK
BI03DH74;NULL;BI03DE24_CDP;;;;;;;"FREQ=DAILY;INTERVAL=1";Maintenance CRM;SIM;PYSPARK
